broadcast_recipients_id ,related_broadcast,recipient,acknowledged,rejected,last_replied,aifs_id
1,9,1,1,0,2022-05-14 22:07:56,1
2,9,2,1,0,2022-05-14 22:07:28,2
3,10,3,1,0,2022-05-16 02:08:49,1
4,10,4,1,0,2022-05-16 02:08:39,2
5,11,5,1,0,2022-05-16 03:57:58,1
6,11,6,1,0,2022-05-16 03:58:24,2
7,12,1,1,0,2022-05-16 05:12:32,1
8,12,2,1,0,2022-05-16 05:11:40,2
9,13,3,1,0,2022-05-16 21:07:25,1
10,13,4,1,0,2022-05-16 21:07:04,2
11,14,5,1,0,2022-05-17 03:56:04,1
12,14,6,1,0,2022-05-17 03:56:30,2
13,15,1,1,0,2022-05-18 18:47:41,1
14,15,2,1,0,2022-05-18 18:47:07,2
15,16,3,1,0,2022-05-22 18:08:33,1
16,16,4,1,0,2022-05-22 18:07:34,2
17,17,5,1,0,2022-05-24 02:27:55,1
18,17,6,1,0,2022-05-24 02:27:14,2
19,18,1,1,0,2022-05-24 21:59:19,1
20,18,2,1,0,2022-05-24 21:59:20,2
21,19,3,1,0,2022-05-26 21:30:07,1
22,19,4,1,0,2022-05-26 21:31:03,2
23,20,5,1,0,2022-05-30 23:19:58,1
24,20,6,1,0,2022-05-30 23:19:07,2
25,21,1,1,0,2022-06-01 18:42:25,1
26,21,2,1,0,2022-06-01 18:41:53,2
27,22,3,1,0,2022-06-02 01:27:41,1
28,22,4,1,0,2022-06-02 01:27:21,2
29,23,5,1,0,2022-06-02 01:47:13,1
30,23,6,1,0,2022-06-02 01:47:42,2
31,24,1,1,0,2022-06-03 03:43:07,1
32,24,2,1,0,2022-06-03 03:42:54,2
33,25,3,1,0,2022-06-04 23:06:37,1
34,25,4,1,0,2022-06-04 23:05:49,2
35,26,5,1,0,2022-06-04 23:42:05,1
36,26,6,1,0,2022-06-04 23:41:27,2
37,27,1,1,0,2022-06-05 19:04:57,1
38,27,2,1,0,2022-06-05 19:05:21,2
39,28,3,1,0,2022-06-06 05:52:44,1
40,28,4,1,0,2022-06-06 05:52:47,2
41,29,5,1,0,2022-06-07 00:59:58,1
42,29,6,1,0,2022-06-07 00:59:01,2
43,30,1,1,0,2022-06-09 18:02:07,1
44,30,2,1,0,2022-06-09 18:00:52,2
45,31,3,1,0,2022-06-09 18:02:28,1
46,31,4,1,0,2022-06-09 18:02:44,2
47,32,5,1,0,2022-06-09 20:41:29,1
48,32,6,1,0,2022-06-09 20:41:35,2
49,33,1,1,0,2022-06-10 01:49:55,1
50,33,2,1,0,2022-06-10 01:49:16,2
51,34,3,1,0,2022-06-12 01:21:45,1
52,34,4,1,0,2022-06-12 01:20:52,2
53,35,5,1,0,2022-06-12 03:57:14,1
54,35,6,1,0,2022-06-12 03:56:27,2
55,36,1,1,0,2022-06-13 19:55:06,1
56,36,2,1,0,2022-06-13 19:54:38,2
57,37,3,1,0,2022-06-15 03:54:39,1
58,37,4,1,0,2022-06-15 03:53:35,2
59,38,5,1,0,2022-06-16 21:30:46,1
60,38,6,1,0,2022-06-16 21:30:19,2
61,39,1,1,0,2022-06-17 22:30:56,1
62,39,2,1,0,2022-06-17 22:31:41,2
63,40,3,1,0,2022-06-18 19:40:42,1
64,40,4,1,0,2022-06-18 19:41:19,2
65,41,5,1,0,2022-06-19 01:52:48,1
66,41,6,1,0,2022-06-19 01:52:39,2
67,42,1,1,0,2022-06-19 21:05:15,1
68,42,2,1,0,2022-06-19 21:04:24,2
69,43,3,1,0,2022-06-19 21:41:07,1
70,43,4,1,0,2022-06-19 21:40:58,2
71,44,5,1,0,2022-06-23 18:12:49,1
72,44,6,1,0,2022-06-23 18:12:41,2
73,45,1,1,0,2022-06-24 01:51:32,1
74,45,2,1,0,2022-06-24 01:50:40,2
75,46,3,1,0,2022-06-24 05:10:22,1
76,46,4,1,0,2022-06-24 05:09:39,2
77,47,5,1,0,2022-06-24 23:50:15,1
78,47,6,1,0,2022-06-24 23:50:28,2
79,48,1,1,0,2022-06-25 04:50:54,1
80,48,2,1,0,2022-06-25 04:49:53,2
81,49,3,1,0,2022-06-26 05:49:57,1
82,49,4,1,0,2022-06-26 05:50:41,2
83,50,5,1,0,2022-06-26 19:30:28,1
